Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line
Admin - INY,Industry,,Making emissions visible,63,0,3,#edbd93,,Admin - INY,0,,,
Aviation,Industry,2,Legacy,63,1,0,#edbd93,,Aviation,1,0.5,0.05,
Freight and transport,Industry,2,Mobility decarbonization,63,2,3.5,#edbd93,,Freight and transport,2,0.5,0.07,
Methane (Standard),Industry,,Climate-aligned sectors,63,3,3.5,#edbd93,,Methane (Standard),3,,,
Methane (CAE),Industry,8,Making emissions visible,63,4,9,#edbd93,,Methane (CAE),4,0.5,0.09,
Mining,Industry,7,Legacy,63,5,0,#edbd93,,Mining,5,0.5,0.11,
COMET,Industry,2,Making emissions visible,63,6,1,#edbd93,,COMET,6,,,
Hydrogen,Industry,Not listed,Breakthrough technology,63,7,2,#edbd93,,Hydrogen,7,0.5,0.13,
Green steel,Industry,Not listed,Climate-aligned sectors,63,8,0,#edbd93,,Green steel,8,0.5,0.15,
Pathways to Zero,Buildings,6,Building decarbonization,64,9,6,#ebc334,,Pathways to Zero,9,0.5,0.17,
Residential Energy +,Buildings,3,Building decarbonization,64,10,3,#ebc334,,Residential Energy +,10,0.5,0.19,
Portfolio Energy Optimization,Buildings,5,Building decarbonization,64,11,5,#ebc334,,Portfolio Energy Optimization,11,0.5,0.21,
Global Cooling Prize,Buildings,4,Building decarbonization,64,12,4,#ebc334,,Global Cooling Prize,12,0.5,0.23,
Realize,Buildings,4,Building decarbonization,64,13,4,#ebc334,,Realize,13,0.5,0.25,
States and Cities campaigns (including city cohorts),Building Electrification,6,Building decarbonization,65,14,6,#d6eb34,,States and Cities campaigns (including city cohorts),14,0.5,0.27,
Media and Communications,Building Electrification,1,Building decarbonization,65,15,1,#d6eb34,,Media and Communications,15,0.5,0.29,
Health/ Air Pollution,Building Electrification,1,Building decarbonization,65,16,1,#d6eb34,,Health/ Air Pollution,16,0.5,0.31,
Regulatory/Utility Solutions,Building Electrification,3,Building decarbonization,65,17,3,#d6eb34,,Regulatory/Utility Solutions,17,0.5,0.33,
Technical Support and Research,Building Electrification,2,Building decarbonization,65,18,2,#d6eb34,,Technical Support and Research,18,0.5,0.35,
