Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line
Admin (INY),Industry,,Making emissions visible,65,0,0,#edbd93,,Admin (INY),0,,,
Aviation,Industry,2,Legacy,65,1,0,#edbd93,,Aviation,1,0.5,0.05,
Freight and transport,Industry,2,Mobility decarbonization,65,2,68848.31,#edbd93,,Freight and transport,2,0.5,0.07,
Methane,Industry,8,Making emissions visible,65,3,2135406.38,#edbd93,,Methane,3,0.5,0.09,
Mining,Industry,7,Legacy,65,4,24448.85,#edbd93,,Mining,4,0.5,0.11,
COMET,Industry,2,Making emissions visible,65,5,0,#edbd93,,COMET,5,,,
Hydrogen,Industry,Not listed,Breakthrough technology,65,6,0,#edbd93,,Hydrogen,6,0.5,0.13,
Green steel,Industry,Not listed,Climate-aligned sectors,65,7,0,#edbd93,,Green steel,7,0.5,0.15,
Admin (BLD),Buildings,3,Building decarbonization,66,8,771473.11,#ebc334,,Admin (BLD),8,0.5,0.17,
Pathways to Zero,Buildings,6,Building decarbonization,66,9,114604.13,#ebc334,,Pathways to Zero,9,0.5,0.19,
Residential Energy +,Buildings,3,Building decarbonization,66,10,0,#ebc334,,Residential Energy +,10,0.5,0.21,
Portfolio Energy Optimization,Buildings,5,Building decarbonization,66,11,0,#ebc334,,Portfolio Energy Optimization,11,0.5,0.23,
Global Cooling Prize,Buildings,4,Breakthrough technology,66,12,1374449.55,#ebc334,,Global Cooling Prize,12,0.5,0.25,
Realize,Buildings,4,Building decarbonization,66,13,0,#ebc334,,Realize,13,0.5,0.27,
Admin (BEL),Building Electrification,6,Building decarbonization,67,14,936711.28,#d6eb34,,Admin (BEL),14,0.5,0.29,
NEMO,Building Electrification,1,Building decarbonization,67,15,44770.89,#d6eb34,,NEMO,15,0.5,0.31,
Admin (ELP),Electricity,2,Power sector decarbonization,68,16,472633.55,#77eb34,,Admin (ELP),16,0.5,0.33,
Coal End Game,Electricity,6.3,Power sector decarbonization,68,17,70127.61,#77eb34,,Coal End Game,17,0.5,0.35,
Distributed grid infrastructure (CEP),Electricity,5,Power sector decarbonization,68,18,0,#77eb34,,Distributed grid infrastructure (CEP),18,0.5,0.37,
Utility Models,Electricity,,Power sector decarbonization,68,19,0,#77eb34,,Utility Models,19,0.5,0.39,
eLab,Electricity,4,Power sector decarbonization,68,20,85175.68,#77eb34,,eLab,20,0.5,0.41,
Shine,Electricity,2,Legacy,68,21,0,#77eb34,,Shine,21,0.5,0.43,
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,68,22,187236.98,#77eb34,,Business models and regulatory design,22,0.5,0.45,
Admin (CHN),China,1,Urban transformation,69,23,671904.93,#34ebc3,,Admin (CHN),23,0.5,0.47,
Zero carbon cities implementation,China,7,Urban transformation,69,24,325287.94,#34ebc3,,Zero carbon cities implementation,24,0.5,0.49,
Power market reform,China,6,Power sector decarbonization,69,25,0,#34ebc3,,Power market reform,25,0.5,0.51,
Harder to abate,China,7,Climate-aligned sectors,69,26,754990.51,#34ebc3,,Harder to abate,26,0.5,0.53,
Admin (Mobility),Mobility,,Mobility decarbonization,70,27,220754.8,#34c9eb,,Admin (Mobility),27,0.5,0.55,
EV grid,Mobility,2,Mobility decarbonization,70,28,0,#34c9eb,,EV grid,28,0.5,0.57,
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,70,29,0,#34c9eb,,Mobility Innovation Lab,29,0.5,0.59,
eBuses/fleets,Mobility,4,Mobility decarbonization,70,30,69183.05,#34c9eb,,eBuses/fleets,30,0.5,0.61,
Mobility data,Mobility,0,Mobility decarbonization,70,31,0,#34c9eb,,Mobility data,31,0.5,0.63,
Admin (India),India,,Mobility decarbonization,71,32,24027.99,#a6cff7,,Admin (India),32,0.5,0.65,
Urban Mobility Lab,India,7.5,Mobility decarbonization,71,33,0,#a6cff7,,Urban Mobility Lab,33,0.5,0.67,
National Mobility Platform,India,5,Mobility decarbonization,71,34,0,#a6cff7,,National Mobility Platform,34,0.5,0.69,
