Ignore,Ignore,Ignore,Ignore,Source,Target,Value,Color,,Label,Number,X,Y,Left side of sankey below this line,
Methane,Industry,,Making emissions visible,65,3,50000,#edbd93,,INY (General),0,,,,Admin (INY)
Aviation,Industry,2,Legacy,65,1,0,#edbd93,,Aviation,1,0.5,0.05,,Aviation
Freight and transport,Industry,2,Mobility decarbonization,65,2,482181.31,#edbd93,,Freight and transport,2,0.5,0.07,,Freight and transport
Methane,Industry,8,Making emissions visible,65,3,2765406.38,#edbd93,,Methane,3,0.5,0.09,,Methane
Mining,Industry,7,Legacy,65,4,159448.85,#edbd93,,Mining,4,0.5,0.11,,Mining
COMET,Industry,2,Making emissions visible,65,5,0,#edbd93,,COMET,5,,,,COMET
Hydrogen,Industry,Not listed,Breakthrough technology,65,6,0,#edbd93,,Hydrogen,6,0.5,0.13,,Hydrogen
Green steel,Industry,Not listed,Climate-aligned sectors,65,7,0,#edbd93,,Green steel,7,0.5,0.15,,Green steel
Buildings (General),Buildings,3,Building decarbonization,66,8,2396473.11,#ebc334,,Buildings (General),8,0.5,0.17,,Admin (BLD)
Pathways to Zero,Buildings,6,Building decarbonization,66,9,114604.13,#ebc334,,Pathways to Zero,9,0.5,0.19,,Pathways to Zero
Residential Energy +,Buildings,3,Building decarbonization,66,10,0,#ebc334,,Residential Energy +,10,0.5,0.21,,Residential Energy +
Portfolio Energy Optimization,Buildings,5,Building decarbonization,66,11,0,#ebc334,,Portfolio Energy Optimization,11,0.5,0.23,,Portfolio Energy Optimization
Global Cooling Prize,Buildings,4,Breakthrough technology,66,12,1811949.55,#ebc334,,Global Cooling Prize,12,0.5,0.25,,Global Cooling Prize
Realize,Buildings,4,Building decarbonization,66,13,0,#ebc334,,Realize,13,0.5,0.27,,Realize
NEMO,Building Electrification,6,Building decarbonization,67,15,4812526.31,#d6eb34,,Building Electrification (General),14,0.5,0.29,,Admin (BEL)
NEMO,Building Electrification,1,Building decarbonization,67,15,44770.89,#d6eb34,,NEMO,15,0.5,0.31,,NEMO
ELP (General),Electricity,2,Power sector decarbonization,68,16,6247640.8,#77eb34,,ELP (General),16,0.5,0.33,,Admin (ELP)
Coal End Game,Electricity,6.3,Power sector decarbonization,68,17,132627.61,#77eb34,,Coal End Game,17,0.5,0.35,,Coal End Game
Distributed grid infrastructure (CEP),Electricity,5,Power sector decarbonization,68,18,125000,#77eb34,,Distributed grid infrastructure (CEP),18,0.5,0.37,,Distributed grid infrastructure (CEP)
Utility Models,Electricity,,Power sector decarbonization,68,19,0,#77eb34,,Utility Models,19,0.5,0.39,,Utility Models
eLab,Electricity,4,Power sector decarbonization,68,20,170175.68,#77eb34,,eLab,20,0.5,0.41,,eLab
Shine,Electricity,2,Legacy,68,21,0,#77eb34,,Shine,21,0.5,0.43,,Shine
Business models and regulatory design,Electricity,8.7,Power sector decarbonization,68,22,372236.98,#77eb34,,Business models and regulatory design,22,0.5,0.45,,Business models and regulatory design
Zero carbon cities implementation,China,1,China Strategy,69,24,1311904.93,#34ebc3,,Admin (CHN),23,0.5,0.47,,Admin (CHN)
Zero carbon cities implementation,China,7,China Strategy,69,24,385287.94,#34ebc3,,Zero carbon cities implementation,24,0.5,0.49,,Zero carbon cities implementation
Power market reform,China,6,China Strategy,69,25,780000,#34ebc3,,Power market reform,25,0.5,0.51,,Power market reform
Harder to abate,China,7,China Strategy,69,26,2771990.51,#34ebc3,,Harder to abate,26,0.5,0.53,,Harder to abate
US Mobility (General),Mobility,,Mobility decarbonization,70,27,345754.8,#34c9eb,,US Mobility (General),27,0.5,0.55,,Admin (Mobility)
EV grid,Mobility,2,Mobility decarbonization,70,28,0,#34c9eb,,EV grid,28,0.5,0.57,,EV grid
Mobility Innovation Lab,Mobility,3,Mobility decarbonization,70,29,0,#34c9eb,,Mobility Innovation Lab,29,0.5,0.59,,Mobility Innovation Lab
eBuses/fleets,Mobility,4,Mobility decarbonization,70,30,69183.05,#34c9eb,,eBuses/fleets,30,0.5,0.61,,eBuses/fleets
Mobility data,Mobility,0,Mobility decarbonization,70,31,0,#34c9eb,,Mobility data,31,0.5,0.63,,Mobility data
India Mobility,India,,Mobility decarbonization,71,32,5164027.99,#a6cff7,,India Mobility,32,0.5,0.65,,Admin (India)
Urban Mobility Lab,India,7.5,Mobility decarbonization,71,33,0,#a6cff7,,Urban Mobility Lab,33,0.5,0.67,,Urban Mobility Lab
National Mobility Platform,India,5,Mobility decarbonization,71,34,0,#a6cff7,,National Mobility Platform,34,0.5,0.69,,National Mobility Platform
DISCOM transformation platform,India,3.5,Power sector decarbonization,71,35,0,#a6cff7,,DISCOM transformation platform,35,0.5,0.71,,DISCOM transformation platform
Third Derivative (Energy collaborative),RMI Ventures,2.3,Breakthrough technology,72,36,2145699.06,#eff7a6,,Third Derivative (Energy collaborative),36,,,,Third Derivative (Energy collaborative)
"Market affiliates (EWF, WattTime etc)",RMI Ventures,0,Making emissions visible,72,37,0,#eff7a6,,"Market affiliates (EWF, WattTime etc)",37,0.5,0.73,,"Market affiliates (EWF, WattTime etc)"
SEED,ECE,,Sharing the Power,73,38,3388855.37,#ffb3e6,,SEED,38,0.5,0.75,,Admin (SEED)
Minigrids,ECE,2,Implementation unit,73,39,0,#ffb3e6,,Minigrids,39,0.5,0.77,,Minigrids
Productive Use,ECE,6,Implementation unit,73,40,0,#ffb3e6,,Productive Use,40,0.5,0.79,,Productive Use
Islands,ECE,11,Implementation unit,73,41,4523466.47,#ffb3e6,,Islands,41,,,,Islands
SE Asia,ECE,2,Implementation unit,73,42,0,#ffb3e6,,SE Asia,42,,,,SE Asia
Power sector DERs,ECE,5,Implementation unit,73,43,0,#ffb3e6,,Power sector DERs,43,0.5,0.81,,Power sector DERs
Climate Aligned Finance,Global Climate Finance,,Climate-aligned sectors,74,48,1473079.15,#ffb3b3,,Admin (GCF),44,0.5,0.83,,Admin (GCF)
Climate Finance Access Network,Global Climate Finance,2,Sharing the Power,74,45,0,#ffb3b3,,Climate Finance Access Network,45,0.5,0.85,,Climate Finance Access Network
Coal Financing,Global Climate Finance,0.5,Power sector decarbonization,74,46,0,#ffb3b3,,Coal Financing,46,0.5,0.87,,Coal Financing
